episod,total_reward
321,-173.006979335
322,-172.699137588
323,-171.300152213
324,-171.344208952
325,-171.503178764
326,-171.229712438
327,-173.026425717
328,-172.522057077
329,-173.106745798
330,-172.527438708
331,-172.189297675
332,-172.410073983
333,-171.40219836
334,-172.650887262
335,-172.378651723
336,-171.645177815
337,-171.795703816
338,-173.252348866
339,-172.870517216
340,-172.4629217
341,-172.976454255
342,-173.185686298
343,-172.418861253
344,-173.511443246
345,-174.031943857
346,-173.322628677
347,-172.834354838
348,-174.074953992
349,-173.504667906
350,-173.533862027
351,-174.177156509
352,-174.756604114
353,-176.792365881
354,-148.523418145
355,11.7971468079
356,-0.624815923936
357,33.5808351695
358,18.6744394858
359,39.3577327866
360,0.0520727919299
361,3.90653739407
362,4.22086934066
363,3.85095744706
364,4.20043218735
365,4.71420735622
366,4.59207543895
367,24.5392391171
368,7.11432544079
369,6.48949217372
370,16.1100000548
371,7.09259175815
372,7.95074038564
373,17.7369533504
374,10.7703919466
375,10.3791046445
376,12.4706887189
377,24.4229492431
378,13.3197632374
379,10.367536391
380,12.7665845667
381,13.162039613
382,13.502228633
383,11.897556902
384,12.4404740952
385,14.592995653
386,13.0363921825
387,13.7080396188
388,17.4507615624
389,19.9279446303
390,20.1969136589
391,17.9834745083
392,14.042287123
393,6.57804598517
394,11.1866102211
395,17.6329967704
396,24.03123751
397,18.8439858599
398,17.8661954483
399,12.5369617825
400,12.6452542956
401,14.761977773
402,12.9932282175
403,22.4771515226
404,22.6784771265
405,21.9499380728
406,21.0912105842
407,20.2534181034
408,18.9407534797
409,16.4268221351
410,16.7579053622
411,17.2257036958
412,16.9599150341
413,17.4457518093
414,16.7978958631
415,17.7305080898
416,14.7729350511
417,14.7326858499
418,14.8532963792
419,15.0449745497
420,17.3909670737
421,17.4034697655
422,16.8817691119
423,17.4151568415
424,17.7246878913
425,17.5858995429
426,17.6520562065
427,17.4225923392
428,18.3540497847
429,19.0264746868
430,18.7095038879
431,18.937654925
432,22.5002150024
433,21.4101237967
434,20.705107214
435,23.1585931262
436,21.4778162623
437,22.2657445831
438,14.7573056782
439,16.6835914223
440,5.86792029969
441,28.3418497296
442,-2.85194154935
443,21.2713692923
444,21.5042500513
445,21.4775507174
446,15.8114753169
447,16.5937061975
448,22.6991660254
449,20.9849358876
450,23.6491978426
451,10.1684663897
452,20.5072690711
453,10.8410414512
454,14.7412019043
455,10.8063963867
456,23.1260687697
457,14.952795557
458,13.7182222598
459,22.7154573853
460,18.1577905433
461,24.4637556875
462,11.6743538552
463,9.94620232623
464,11.3603084795
465,23.3824955065
466,24.0438521208
467,17.9781831829
468,19.5727064093
469,23.1034618011
470,22.6241575882
471,25.6789812817
472,23.2540750046
473,22.7938407287
474,25.4552707278
475,21.1975716388
476,23.534466496
477,22.0011760282
478,23.2370409066
479,21.2135376697
480,21.6178925231
481,21.427107321
482,22.2626637256
483,22.6225913471
484,21.5601898867
485,24.027646186
486,21.3125769846
487,24.2327816773
488,21.2559453363
489,23.720393787
490,20.3345149944
491,20.3839780905
492,20.562613192
493,20.3939453771
494,20.3519999848
495,20.7612097947
496,20.7057121692
497,20.7424230221
498,20.8280007399
499,20.4807279833
500,20.8190765701
501,20.679324384
502,20.9552966914
503,20.5009330533
504,20.6397897524
505,21.3215238571
506,21.1372210929
507,20.9827685304
508,21.1599571044
509,21.0073645352
510,21.2745500747
511,21.0468957542
512,21.0894067548
513,20.8092479759
514,21.1582748656
515,21.0858326992
516,20.7511085627
517,20.9715353048
518,20.8390214119
519,21.003860858
520,20.8921446147
521,20.9554523423
522,20.887874742
523,21.045207186
524,20.9910364166
525,20.8370965018
526,20.7565580023
527,20.6374191074
528,20.817222826
529,20.7713094401
530,21.0536668009
531,20.7170006423
532,20.6876661462
533,20.7908293284
534,20.6826639522
535,20.7993285068
536,20.6776675356
537,20.8369263613
538,20.956302166
539,20.9544096826
540,20.6774033234
541,20.8257333548
542,20.9333985011
543,20.754147192
544,20.7131991549
